ID;parent;name;phone;address;latlng;text;birth_date;city
1;0;Noel Barron;(07382) 6810122;Ap #287-1575 Mollis. Street;-59.96145, 28.01237;nunc id enim. Curabitur massa. Vestibulum accumsan neque et nunc.;1984-08-06 02:42:20;Monte Giberto
2;1;Julie Mckinney;(0242) 69198423;Ap #451-5295 Tristique Av.;-10.45791, -92.01334;Aliquam fringilla cursus purus. Nullam scelerisque neque sed sem egestas;1984-07-24 14:39:48;Frignano
3;1;Melyssa Flowers;(0012) 32932337;Ap #249-5250 Augue. Rd.;81.38752, -63.51457;blandit viverra. Donec tempus, lorem fringilla ornare placerat, orci lacus;1989-01-16 01:06:59;Sint-Denijs-Westrem
4;2;Virginia Salazar;(039656) 808746;P.O. Box 613, 6497 Vel St.;-71.11043, 91.99832;turpis. In condimentum. Donec at arcu. Vestibulum ante ipsum primis;1985-01-01 04:38:06;Buckingham
5;4;Freya Dalton;(0130) 81149248;Ap #746-6672 Tempor Rd.;54.82424, 13.02152;ornare sagittis felis. Donec tempor, est ac mattis semper, dui;1980-07-07 17:45:45;Varsenare
6;3;Petra Ray;(035666) 844870;9684 Elit, Ave;47.82989, -162.43073;felis eget varius ultrices, mauris ipsum porta elit, a feugiat;1986-11-21 10:05:58;Lokeren
7;5;Camilla Daniel;(036989) 245408;P.O. Box 507, 4989 In, Av.;21.85619, 121.42227;leo. Cras vehicula aliquet libero. Integer in magna. Phasellus dolor;1986-07-08 15:47:39;Saint-Brieuc
8;2;Francesca Rutledge;(02656) 0914012;720-3478 Cras Avenue;35.17761, -166.04693;amet diam eu dolor egestas rhoncus. Proin nisl sem, consequat;1989-10-16 14:05:18;Segni
9;5;Belle Craig;(036078) 346759;Ap #626-3338 Morbi St.;64.82729, 62.40881;mus. Proin vel arcu eu odio tristique pharetra. Quisque ac;1986-10-18 03:30:12;Lint
10;6;Martha Hurley;(094) 23675069;Ap #489-8579 Augue. Street;-63.35905, -113.76548;ornare sagittis felis. Donec tempor, est ac mattis semper, dui;1983-06-05 01:49:30;Cabo de Hornos
11;6;Linda Shepherd;(06475) 2583181;3631 Sagittis Rd.;72.92581, 10.43067;dictum. Proin eget odio. Aliquam vulputate ullamcorper magna. Sed eu;1982-02-03 10:41:48;Lansing
12;9;Lila Stein;(04277) 3638752;P.O. Box 487, 4132 Libero St.;-72.00926, -71.55782;nec luctus felis purus ac tellus. Suspendisse sed dolor. Fusce;1986-06-04 12:56:42;Saint-Lô
13;7;Joelle Lester;(098) 78088776;5738 Dis Rd.;-16.37827, -76.57846;ipsum leo elementum sem, vitae aliquam eros turpis non enim.;1980-08-20 21:47:54;Ivangorod
